"Pathway","N","Up","Down","P.Up","P.Down"
"Drug metabolism - cytochrome P4...",48,5,4,0.599339332268203,0.244464413231078
"Toll-like receptor signaling pa...",81,11,4,0.251641997969961,0.622040185400755
"Cholesterol metabolism",48,7,2,0.254430342042362,0.726191745657734
"Oocyte meiosis",115,5,8,0.995944094211328,0.25828829653788
"Fc gamma R-mediated phagocytosi...",90,12,5,0.258795607274554,0.515196320762729
"T cell receptor signaling pathw...",99,10,7,0.631843227013282,0.264656580116776
"Epithelial cell signaling in He...",66,9,5,0.276745935329017,0.265910003274143
"Glutathione metabolism",50,4,4,0.800627445343376,0.267853767034907
"Spinocerebellar ataxia",125,16,5,0.268129005858983,0.792709304724799
"Tight junction",151,13,10,0.83851026223052,0.271628580695592
"Selenocompound metabolism",17,3,0,0.274087028603933,1
"Amphetamine addiction",66,9,3,0.276745935329017,0.681473031113282
"Mitophagy - animal",66,9,3,0.276745935329017,0.681473031113282
"Allograft rejection",33,5,0,0.278739308676085,1
"Fructose and mannose metabolism",33,5,2,0.278739308676085,0.523803134777939
"Aldosterone-regulated sodium re...",35,4,3,0.52855153225962,0.278839075561833
"Collecting duct acid secretion",25,4,1,0.279277042853623,0.741039405997111
"Phototransduction",20,1,2,0.89747840675113,0.283608777492336
"Pancreatic cancer",75,10,3,0.284705512371001,0.76190321606703
"Biotin metabolism",3,1,0,0.28928648548036,1
"cAMP signaling pathway",197,24,10,0.289738051850904,0.591172051139533
"Metabolism of xenobiotics by cy...",52,6,4,0.493030858062704,0.291618335670179
"Synthesis and degradation of ke...",10,2,0,0.29337099520455,1
"Influenza A",145,18,7,0.295717081599267,0.645202223627358
"Longevity regulating pathway - ...",59,8,2,0.299210524309142,0.8238583859828
"Autoimmune thyroid disease",34,5,1,0.300487887301097,0.840853189115271
"Alcoholism",128,16,8,0.300591082119581,0.359754348927442
"Butanoate metabolism",26,4,1,0.304479355219783,0.754672601976681
