"Pathway","N","Up","Down","P.Up","P.Down"
"Biosynthesis of amino acids",68,3,6,0.977433129744388,0.117267079791007
"Breast cancer",137,19,4,0.117682546379967,0.910239622106374
"ErbB signaling pathway",84,6,7,0.880975580839113,0.119398843191741
"NOD-like receptor signaling pat...",150,16,11,0.495147547362369,0.121561621248798
"Glycerolipid metabolism",56,9,2,0.122480176088387,0.769563521263875
"Type I diabetes mellitus",39,4,4,0.588067205342336,0.12366079115725
"Viral carcinogenesis",172,23,10,0.124367230583365,0.340458730740168
"Longevity regulating pathway",85,7,7,0.79296654035915,0.124944386644852
"Galactose metabolism",26,5,1,0.126195678042695,0.73104964845749
"alpha-Linolenic acid metabolism",19,4,1,0.127680983737396,0.616908133455384
"PI3K-Akt signaling pathway",312,37,20,0.219504800757527,0.138072562899837
"TGF-beta signaling pathway",90,13,4,0.138749605069898,0.652572606227986
"Endocytosis",244,31,7,0.139250387124287,0.95912639924589
"Ether lipid metabolism",41,5,4,0.424535509520884,0.141334422164645
"Endometrial cancer",58,9,3,0.143621245140668,0.548883789837603
"Progesterone-mediated oocyte ma...",89,10,7,0.446925766956973,0.148388212706199
"Nicotinate and nicotinamide met...",35,6,0,0.149966458221046,1
"Glyoxylate and dicarboxylate me...",28,2,3,0.803450297251412,0.157262551343392
"Insulin secretion",76,11,3,0.162132259380127,0.729275384122463
"Spinocerebellar ataxia",125,10,9,0.848593999803496,0.1631007371545
"Thyroid cancer",36,6,1,0.165166270733515,0.837783192296431
"Glycosphingolipid biosynthesis ...",15,2,2,0.471681453473923,0.166719623533785
"Carbon metabolism",109,9,8,0.811110506165494,0.168612284504029
"Circadian rhythm",29,4,3,0.355663866137022,0.169398937168698
"Gastric cancer",136,18,5,0.169699549206734,0.805256270663141
"Protein processing in endoplasm...",161,15,11,0.710595302569373,0.170630714859946
"Maturity onset diabetes of the ...",14,3,0,0.171878535563399,1
"Synaptic vesicle cycle",69,10,2,0.175736017147888,0.86002302400004
"Proteoglycans in cancer",198,19,13,0.677875126299844,0.178696440204242
"Colorectal cancer",86,12,3,0.179203197632995,0.802036718355107
"Nucleotide excision repair",45,3,4,0.86016704170656,0.179376858713428
"Epstein-Barr virus infection",181,17,12,0.706281721321125,0.18217015883817
"Signaling pathways regulating p...",129,17,5,0.182684228783898,0.766978156010387
"Hepatitis B",146,11,10,0.903134768227828,0.183144410718739
"Prostate cancer",95,13,5,0.184771492646849,0.504420671059089
"Linoleic acid metabolism",22,4,1,0.189302995879034,0.670793449739837
"Vitamin digestion and absorptio...",22,4,1,0.189302995879034,0.670793449739837
"Autophagy - other",31,0,3,1,0.194421458094476
"Melanogenesis",96,13,2,0.19476217033696,0.953442131348348
"Shigellosis",220,19,14,0.833522271573867,0.196918293234148
"Salmonella infection",202,17,13,0.851965654856861,0.197017153909582
"Steroid hormone biosynthesis",38,6,1,0.197378610721483,0.853389204224462
"MAPK signaling pathway",275,30,17,0.417234627173007,0.198738743839163
"Valine, leucine and isoleucine ...",47,5,4,0.547765826132561,0.199553855029155
"2-Oxocarboxylic acid metabolism",17,2,2,0.539894124610036,0.202836550332843
"Acute myeloid leukemia",64,3,5,0.968495047565528,0.206429414228286
"Toll-like receptor signaling pa...",81,6,6,0.858886363582525,0.208392844755409
"Phospholipase D signaling pathw...",141,18,4,0.210827460398324,0.92111072774559
"Histidine metabolism",23,4,1,0.211633535523733,0.687016668668503
"Oocyte meiosis",115,15,5,0.212378646340826,0.673940840555273
"Autophagy - animal",134,11,9,0.834565082371615,0.214886959637788
"NF-kappa B signaling pathway",99,11,7,0.454726751268251,0.214894778031228
"Apoptosis - multiple species",31,5,1,0.214948854628572,0.791118856578403
"Central carbon metabolism in ca...",65,7,5,0.519568511031311,0.215319716256947
"Melanoma",64,9,3,0.216785819346516,0.616189067699231
"Hepatitis C",133,17,5,0.217573867412416,0.789503124653715
"Base excision repair",33,3,3,0.680966296072589,0.220274688582228
"C-type lectin receptor signalin...",100,12,7,0.34400095842826,0.222079995063299
"Parathyroid hormone synthesis, ...",100,5,7,0.982337481465991,0.222079995063299
"D-Glutamine and D-glutamate met...",5,1,1,0.422246671697615,0.22306358843078
"Phenylalanine, tyrosine and try...",5,0,1,1,0.22306358843078
"Drug metabolism - cytochrome P4...",48,7,1,0.227294460831575,0.911601853013376
"Phenylalanine metabolism",16,3,1,0.227548342749326,0.554213997267748
"Glutathione metabolism",50,6,4,0.420036851944485,0.230986597994393
"Neurotrophin signaling pathway",119,6,8,0.98780057984892,0.232150611010834
"Non-small cell lung cancer",67,4,5,0.927665499716892,0.23344562591436
"Fat digestion and absorption",34,5,3,0.275443109112452,0.233451536681855
